,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
107,1837,0.2370456860105484,4.260379385415475,0.24592922718345384,0.0077877499032385335,0.005504814272885634,1.8342155178610292e-09
108,1838,0.07718281243657929,4.765955454171215,0.790014662437439,0.025395314215670175,0.01771123696288555,2.022379031182866e-07
109,1843,0.1181000699828743,5.13089921910547,0.5274397618571214,0.016591202573392045,0.011483219192503212,3.627693479013796e-08
110,1848,0.1366445176333846,3.3287854484990795,0.44798827081203385,0.014335024113351018,0.010247929804523718,2.158191029645275e-08
111,1850,0.09414864901604597,6.154132162263641,0.7311441372892924,0.02310773826898541,0.017253345851694753,1.589397678117733e-07
112,1852,0.10417270335812373,6.558341406623522,0.6028958864096533,0.018286004422270425,0.013699167541917934,6.275617750048624e-08
113,18539,0.12119610356341416,6.818161621669486,0.5154031992302022,0.016721918052078774,0.011758484810755943,3.866496722663207e-08
114,18651,0.11983049910198461,6.6396239689573,0.5073072303960687,0.0161035119726002,0.011228760468420192,3.242624006614483e-08
115,1875,0.0932717190759478,5.052745558729703,0.6668319548810661,0.020958046964796518,0.014551457312321832,9.301605460626933e-08
116,1877,0.08819148221670667,5.633230395373661,0.6844521309965735,0.02224711357815842,0.015628808101982954,1.2075147264626966e-07
117,1879,0.17979934969282743,5.4816569252593546,0.33672593168007087,0.010780106787979677,0.007502205471481944,6.541181693223214e-09
118,1880,0.3087732142854931,4.563889112275362,0.19607555480752978,0.006445807641009211,0.004537621133352168,8.550896148697183e-10
119,1886,inf,4.694606433688901,0.020321257638029246,inf,inf,inf
120,1899,0.14639959940558495,6.484819908057532,0.40211134102197793,0.012500775229397507,0.009282210973142614,1.3465414483511523e-08
121,1900,0.14280000314410082,6.626749357523054,0.4300048182932345,0.01377927388605659,0.009491619418328625,1.7099263332792043e-08
122,1911,0.16412646253725488,5.132310451550272,0.38519312352026197,0.012173423526715734,0.008643382758903976,1.1072236331488656e-08
