,Zcosphi,Zsinphi,Zcomcosphi,Zcomsinphi,Zstarcostheta,Zstarsintheta,dKprimecostheta1,dKprimesintheta1
75,0.02167402035076226,-0.022500088959101317,-0.01774873955341082,-0.03414425057737851,0.004774947941452892,0.005848185450531595,0.00043345646740026674,0.00025850358989902946
77,-0.004710844028638653,0.00028026024818908805,-0.0011619025148158048,-0.0012623755874360538,-4.690063370466851e-05,1.334862924291726e-06,0.0014825343305259883,-0.00026913643028916775
78,-0.027187913721579225,-0.01800853027451351,0.0007853793518265742,0.0012144759804660107,-0.001546801321994189,0.03268635737965556,-6.817573304324802e-06,9.560917099043762e-07
80,-0.005852097684183096,0.010885425440875098,0.00034526274867973885,-0.004523328745345982,0.00025747118165107976,0.0002866357207059269,0.007540604425053875,0.0001692330161831009
83,-0.025606193802472945,-0.09687641116995993,0.0021903779579012937,-0.004752593988489385,-0.10566081179498708,0.023099347585925505,5.037446578254024e-05,-0.0064556182689162345
84,-0.0026130963908456745,0.002299691365554109,-0.002049627105168543,-0.0022566790686410773,-4.963765236087009e-05,0.00010409142288368928,0.0032010697331044764,-0.0013596633193263257
86,-0.08575380777412243,-0.0003690933820816872,0.0891813217623403,0.11837064686680296,-0.0637389174384196,-0.05713209190384133,0.0002082266367741295,-0.00020692949624494968
88,-0.013369648243419248,-0.02899035513960387,0.015542616937723668,0.016839466932696816,-0.016741349122464534,0.019750554880966973,0.0013232188863406776,0.0003419939576717114
89,-0.10183452343988315,-0.0557421821334572,0.02162946549148785,0.03727293416946832,0.1073759648015312,-0.04280801783511613,5.7544067144754495e-05,1.3330097618817843e-05
91,0.027866690265329744,0.026052884855644044,-0.005000872753035157,0.004073612052275455,0.0735961755841654,-0.044141127064869244,-0.0014203153639770242,9.418995513708e-05
92,-0.016655084606477105,0.004841810993880377,0.0032625053106472173,3.0770252482411706e-05,-0.00018790717076744217,0.0005544488375810795,0.0002789171472375201,9.907662921912118e-05
96,-0.010027886081265033,-0.00022535093457698614,0.07343325933844572,0.010128136745996469,-0.00897494040722206,-0.004407905912114145,4.171131450388774e-06,8.193794442460805e-07
97,-0.0159203269270262,-0.010529669065365515,0.003977459050408356,-0.021986344778949795,-0.0013831922287418181,0.0022375940565952882,0.003500256128594783,-0.0008087175135768856
98,0.006878097808588768,0.00880650566638425,-0.0031978387812944715,0.0217675305645116,-0.010064584324623116,-0.039654936754815906,-0.004555398134199111,-0.0026875522540351937
100,0.050987842480067415,-0.01132496779412978,0.030787091807435694,0.016900397601443944,-0.014438536321457796,-0.038842189192528596,0.008350991293978965,-0.002694243013811167
102,9.766475525496174e-05,0.00013231265603306602,0.0006272514911329828,0.0016059912480199693,-0.020151575180231352,0.0020429379814009803,-0.00470334842249368,-0.000656735376959386
