,Unnamed: 0,runstring,t,t_shadow
20385,20385,0020385.bin,40.6328924074,40.6328924074
20386,20386,0020386.bin,56.014365727,56.014365727
20389,20389,0020389.bin,3.91443439805,3.91443439805
20420,20420,0020420.bin,27.3317593727,27.3317593727
20427,20427,0020427.bin,17.6317145206,17.6317145206
20430,20430,0020430.bin,308.752471255,308.752471255
20437,20437,0020437.bin,188.895465807,188.895465807
20446,20446,0020446.bin,28.994526458,28.994526458
20448,20448,0020448.bin,268.952818966,268.952818966
20450,20450,0020450.bin,61.5570763351,61.5570763351
20462,20462,0020462.bin,9.24913402844,9.24913402844
20467,20467,0020467.bin,51.7881555634,51.7881555634
20482,20482,0020482.bin,40.9456787306,40.9456787306
20483,20483,0020483.bin,109.327039035,109.327039035
20492,20492,0020492.bin,336.777812796,336.777812796
20494,20494,0020494.bin,2.73663985311,2.73663985311
20497,20497,0020497.bin,8.52168838691,8.52168838691
20501,20501,0020501.bin,69.1779833889,69.1779833889
20505,20505,0020505.bin,1.14315307214,1.14315307214
20506,20506,0020506.bin,7.69030514182,7.69030514182
20509,20509,0020509.bin,38.1397564466,38.1397564466
20517,20517,0020517.bin,44.6868567327,44.6868567327
20531,20531,0020531.bin,14.5492150658,14.5492150658
20537,20537,0020537.bin,50.5756047824,50.5756047824
20539,20539,0020539.bin,8.59090534973,8.59090534973
20544,20544,0020544.bin,41.3267292555,41.3267292555
20556,20556,0020556.bin,60.6909286148,60.6909286148
20559,20559,0020559.bin,62.9427186275,62.9427186275
20561,20561,0020561.bin,207.323400823,207.323400823
20563,20563,0020563.bin,21.2695067171,21.2695067171
20576,20576,0020576.bin,134.129930074,134.129930074
20591,20591,0020591.bin,385.762058249,385.762058249
20608,20608,0020608.bin,75.3408927231,75.3408927231
20617,20617,0020617.bin,5.68111428507,5.68111428507
20623,20623,0020623.bin,180.548961833,180.548961833
20624,20624,0020624.bin,24.4565524018,24.4565524018
20628,20628,0020628.bin,195.964216365,195.964216365
20629,20629,0020629.bin,4.78043982698,4.78043982698
20634,20634,0020634.bin,48.6704544281,48.6704544281
20640,20640,0020640.bin,145.56153864,145.56153864
20650,20650,0020650.bin,1524.58071878,1524.58071878
20652,20652,0020652.bin,15.0338633244,15.0338633244
20675,20675,0020675.bin,15.0686945782,15.0686945782
20701,20701,0020701.bin,75.4827173653,75.4827173653
20710,20710,0020710.bin,111.298067942,111.298067942
20734,20734,0020734.bin,29.1330835872,29.1330835872
20736,20736,0020736.bin,5.78504934035,5.78504934035
20739,20739,0020739.bin,18.9137126224,18.9137126224
20743,20743,0020743.bin,35.8187426002,35.8187426002
20746,20746,0020746.bin,53.7281292657,53.7281292657
20750,20750,0020750.bin,72.0182392147,72.0182392147
20751,20751,0020751.bin,16.800765939,16.800765939
20752,20752,0020752.bin,108.70283808,108.70283808
20767,20767,0020767.bin,5.9582542114,5.9582542114
20773,20773,0020773.bin,23.0015443951,23.0015443951
20797,20797,0020797.bin,39.1079135387,39.1079135387
20840,20840,0020840.bin,20.9921461261,20.9921461261
20850,20850,0020850.bin,2.00917529323,2.00917529323
20860,20860,0020860.bin,21.3388224926,21.3388224926
20865,20865,0020865.bin,8.34845860226,8.34845860226
20870,20870,0020870.bin,29.3062888527,29.3062888527
20873,20873,0020873.bin,3.04840901419,3.04840901419
20874,20874,0020874.bin,38.3822436713,38.3822436713
