,Unnamed: 0,runstring,t
132,132,0000132.bin,3681194.0588538754
133,133,0000133.bin,920528.7773364417
134,134,0000134.bin,2310935.1604704126
135,135,0000135.bin,1691952.6977763972
136,136,0000136.bin,2215864.062036511
137,137,0000137.bin,3660924.4471680853
138,138,0000138.bin,1660876.4869990384
139,139,0000139.bin,4610282.680763996
140,140,0000140.bin,4992305.92902355
141,141,0000141.bin,5327211.961211598
142,142,0000142.bin,5228280.904155774
143,143,0000143.bin,4870601.3000590345
144,144,0000144.bin,2217176.928422021
145,145,0000145.bin,8916182.542841805
146,146,0000146.bin,546947.6208742106
147,147,0000147.bin,9419939.836478928
148,148,0000148.bin,5193173.863648739
149,149,0000149.bin,7411078.150786282
150,150,0000150.bin,8052600.066294462
151,151,0000151.bin,4567553.844744704
152,152,0000152.bin,4742651.471340308
153,153,0000153.bin,612425.4108096737
154,154,0000154.bin,5331993.951535838
155,155,0000155.bin,3274913.289216854
156,156,0000156.bin,3514703.014050391
157,157,0000157.bin,5602042.982903933
158,158,0000158.bin,4775031.39408395
159,159,0000159.bin,3375208.2529810257
160,160,0000160.bin,1751339.0987152029
161,161,0000161.bin,7159704.456690229
162,162,0000162.bin,3577518.803872655
163,163,0000163.bin,4576956.178911122
164,164,0000164.bin,5198338.368831095
165,165,0000165.bin,1179540.4957638567
166,166,0000166.bin,4230482.470648188
167,167,0000167.bin,2380363.686169341
168,168,0000168.bin,3962082.7713785334
169,169,0000169.bin,4347076.407251784
170,170,0000170.bin,2337242.9031256298
171,171,0000171.bin,7754806.0182577325
172,172,0000172.bin,4368772.266015372
173,173,0000173.bin,4806100.39262553
174,174,0000174.bin,5395002.315519113
175,175,0000175.bin,4533979.706831156
176,176,0000176.bin,4729028.783474336
177,177,0000177.bin,5000833.943544244
178,178,0000178.bin,5999888.518070928
179,179,0000179.bin,393043.4374646887
180,180,0000180.bin,2743612.3673168807
181,181,0000181.bin,4962859.567330868
182,182,0000182.bin,6037499.311014562
183,183,0000183.bin,5392546.689489918
184,184,0000184.bin,558588.2489875469
185,185,0000185.bin,4816906.367679281
186,186,0000186.bin,4958805.991777342
187,187,0000187.bin,4326835.505245263
188,188,0000188.bin,2246564.2078435053
189,189,0000189.bin,3793216.1262808624
190,190,0000190.bin,4899783.10516473
191,191,0000191.bin,5329328.760629177
192,192,0000192.bin,1432970.1048435317
193,193,0000193.bin,5143066.915425071
194,194,0000194.bin,4557219.356059989
195,195,0000195.bin,3986815.726680326
196,196,0000196.bin,550990.5864523932
197,197,0000197.bin,1694918.7134690026
198,198,0000198.bin,4822072.884358589
199,199,0000199.bin,7480280.1207975345
200,200,0000200.bin,4940161.7217235435
201,201,0000201.bin,4451878.054238588
202,202,0000202.bin,5015171.453842616
203,203,0000203.bin,4442190.221350889
204,204,0000204.bin,2898244.342236377
205,205,0000205.bin,4287382.940783917
206,206,0000206.bin,3364124.753441538
