,ID,Mean,Mean_Error,Sigma,Error
42,1344.0,7.24780985792,0.00962327411542,1.2285001152,0.0096342110113
43,1350.0,6.78169214591,0.00498263413142,0.670639472549,0.00498698500567
44,1356.0,4.59189610931,0.0011478266483,0.0508759808805,0.00123595608007
45,1364.0,inf,inf,inf,inf
46,1366.0,5.41426757119,0.00595488481884,-0.26621918261,0.00641183069004
47,1375.0,5.80627943097,0.00211329461476,0.588482199601,0.00211334086372
48,1379.0,6.14307446034,0.00341505225541,0.547674385545,0.00341627818589
49,1396.0,4.30447733367,0.00434098075765,-0.220518606824,0.00456937319625
50,1403.0,5.8359028506,0.00256229237828,-0.528954237826,0.00256254404279
51,1408.0,5.55176644567,0.00464320332505,0.673480307353,0.00464598468857
52,1412.0,6.56524490084,0.00299235822943,0.733424112183,0.00299248141563
53,1424.0,inf,inf,inf,inf
54,1426.0,5.64647014677,0.0105392696604,0.911883516273,0.0106129551178
55,1438.0,6.10670968144,0.0050015173688,0.660022191546,0.00500633766491
56,1449.0,5.33457819856,0.079034760934,1.53086528357,0.0759590041399
57,1476.0,4.38506266975,0.000243495106752,0.029904250866,0.000243828750687
58,1488.0,5.11963234269,0.00530708635556,-0.435335275896,0.00535372203043
59,15003.0,7.67361800619,0.00509331831185,-0.652996828388,0.00509898520776
60,1504.0,4.83022568598,0.00521607043599,0.546127355461,0.00523149838111
61,1507.0,6.26823950987,0.00638934518587,0.442283014107,0.00650126538256
62,1508.0,inf,inf,inf,inf
63,1513.0,8.03601296141,0.000981414874616,0.678949110562,0.000981415193285
64,1514.0,6.62128197483,0.00275884838716,0.580561932951,0.0027590940102
65,15220.0,6.72396824927,0.00221192071571,0.532229079848,0.00221202056423
66,1590.0,6.99667869825,0.00132012142609,0.715591069503,0.00132012143473
67,1598.0,5.06592960366,0.00726956984038,-0.447634763995,0.00746760652709
68,1601.0,4.45916226294,0.00207497053233,0.0492503856659,0.00219717845992
69,1613.0,5.28357780757,0.00492824321034,-0.536844044332,0.00494033888528
70,1616.0,5.66569849923,0.000410438416307,0.325185921649,0.000410438424453
71,1617.0,5.0085521566,0.00500456570559,0.396009692751,0.00505571131055
72,1625.0,5.81114948349,0.00484312605121,0.781530227097,0.00484481016941
73,1627.0,4.91901579238,0.00284855471563,0.481792582846,0.00284933297996
74,1635.0,6.27131109732,0.00177649196975,0.470921784791,0.00177654148431
75,1636.0,5.89637251304,0.00541176776553,0.612215502589,0.00542285932789
76,1640.0,4.81736787443,0.00238148716292,0.0885618128429,0.00264553466556
77,1646.0,7.15794800387,0.00193362046836,0.519236388486,0.00193367102438
78,1648.0,5.81817026882,0.00256492488758,0.70992831957,0.00256498271073
79,1657.0,4.85213999773,0.00123343418472,0.361444722853,0.00123345524073
80,16588.0,7.7133840617,0.00336524422304,0.665118773559,0.00336565718694
81,1667.0,5.80337916709,0.00546440683858,0.663920131112,0.00547232963712
82,1675.0,5.85949799494,0.016119055696,-0.968316818595,0.0165994837787
83,1689.0,5.65517475528,0.00361956350575,0.557475857054,0.00362116128512
84,1691.0,6.62326122597,0.00609207472366,0.745798045109,0.00610058671562
85,1720.0,6.10763569072,0.0094485387606,-0.446296333748,0.0100712482272
86,1742.0,5.73260876666,0.0151504405311,-0.998508839527,0.0154709514373
87,1753.0,4.99501730472,0.00388619497844,0.506996181918,0.00389016051734
88,17641.0,6.35956089634,0.00295455402315,0.564160024397,0.00295498677869
89,1766.0,5.38143072273,0.00796515709034,0.88428791607,0.00798301747092
